TimeCreated,EventID,Computer,TargetUserName,IpAddress,LogonType,SubStatus
2026-09-01 02:14:00,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:02,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:04,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:06,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:08,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:10,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:12,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:14,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:16,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:18,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:20,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:22,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:24,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:26,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:28,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:30,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:32,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:34,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:36,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:38,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:40,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:42,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:44,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:46,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:48,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:50,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:52,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:54,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:56,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:14:58,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:00,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:02,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:04,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:06,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:08,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:10,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:12,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:14,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:16,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:18,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:20,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:22,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:24,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:26,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:28,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:30,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:32,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:34,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:36,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:38,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:40,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:42,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:44,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:46,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:48,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:50,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:52,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:54,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:56,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 02:15:58,4625,DC01,Administrator,185.220.101.47,3,0xC000006A
2026-09-01 08:05:13,4624,WKS-02,jsmith,10.0.0.10,2,
2026-09-01 08:51:20,4624,WKS-04,kbrown,10.0.0.15,2,
2026-09-01 09:01:47,4624,WKS-03,jsmith,10.0.0.10,2,
2026-09-01 09:09:40,4624,WKS-02,lchen,10.0.0.17,3,
2026-09-01 09:24:06,4624,WKS-03,apatel,10.0.0.12,10,
2026-09-01 09:35:18,4624,FILESRV01,rlee,10.0.0.13,3,
2026-09-01 09:38:40,4624,WKS-02,tgarcia,10.0.0.14,2,
2026-09-01 09:43:27,4625,WKS-05,jsmith,10.0.0.10,2,0xC000006A
2026-09-01 09:43:37,4625,WKS-05,jsmith,10.0.0.10,2,0xC000006A
2026-09-01 09:43:47,4624,WKS-05,jsmith,10.0.0.10,2,
2026-09-01 09:53:54,4625,FILESRV01,rlee,10.0.0.13,2,0xC000006A
2026-09-01 09:54:04,4625,FILESRV01,rlee,10.0.0.13,2,0xC000006A
2026-09-01 09:54:14,4624,FILESRV01,rlee,10.0.0.13,3,
2026-09-01 10:29:24,4624,WKS-03,tgarcia,10.0.0.14,10,
2026-09-01 10:30:00,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:30:10,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:30:20,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:30:30,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:30:40,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:30:50,4625,DC01,mwilson,10.0.0.57,2,0xC000006A
2026-09-01 10:31:05,4740,DC01,mwilson,10.0.0.57,,
2026-09-01 10:32:58,4624,WKS-01,svc_backup,10.0.0.18,3,
2026-09-01 11:03:15,4624,WKS-05,Administrator,10.0.0.19,2,
2026-09-01 12:26:50,4625,WKS-04,svc_backup,10.0.0.18,2,0xC000006A
2026-09-01 12:27:00,4625,WKS-04,svc_backup,10.0.0.18,2,0xC000006A
2026-09-01 12:27:10,4624,WKS-04,svc_backup,10.0.0.18,10,
2026-09-01 12:35:55,4624,WKS-01,svc_backup,10.0.0.18,2,
2026-09-01 12:51:02,4624,DC01,apatel,10.0.0.12,2,
2026-09-01 13:10:23,4624,WKS-03,tgarcia,10.0.0.14,3,
2026-09-01 13:31:01,4624,WKS-01,Administrator,10.0.0.19,3,
2026-09-01 13:40:00,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:03,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:06,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:09,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:12,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:15,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:18,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:21,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:24,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:27,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:30,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:33,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:36,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:39,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:42,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:45,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:48,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:51,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:54,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:40:57,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:00,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:03,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:06,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:09,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:12,4625,FILESRV01,svc_backup,45.155.205.233,3,0xC000006A
2026-09-01 13:41:19,4624,FILESRV01,svc_backup,45.155.205.233,3,
2026-09-01 14:21:17,4624,WKS-02,mwilson,10.0.0.11,3,
2026-09-01 14:23:14,4624,WKS-02,dnguyen,10.0.0.16,2,
2026-09-01 15:09:16,4624,WKS-02,dnguyen,10.0.0.16,10,
2026-09-01 15:37:17,4624,FILESRV01,mwilson,10.0.0.11,2,
2026-09-01 16:12:45,4624,DC01,jsmith,10.0.0.10,3,
2026-09-01 16:14:43,4624,WKS-03,tgarcia,10.0.0.14,2,
2026-09-01 16:16:47,4624,WKS-05,dnguyen,10.0.0.16,10,
2026-09-01 16:38:12,4624,WKS-02,Administrator,10.0.0.19,2,
2026-09-01 16:48:17,4624,FILESRV01,svc_backup,10.0.0.18,2,
2026-09-01 16:49:59,4624,WKS-05,Administrator,10.0.0.19,10,
2026-09-01 17:04:24,4624,WKS-04,lchen,10.0.0.17,3,
2026-09-01 17:12:35,4625,WKS-01,rlee,10.0.0.13,2,0xC000006A
2026-09-01 17:12:45,4624,WKS-01,rlee,10.0.0.13,3,
2026-09-01 17:56:45,4624,WKS-03,kbrown,10.0.0.15,3,
2026-09-01 22:05:00,4625,DC01,jsmith,194.26.29.102,3,0xC000006A
2026-09-01 22:05:09,4625,DC01,jsmith,194.26.29.102,3,0xC000006A
2026-09-01 22:05:29,4625,DC01,mwilson,194.26.29.102,3,0xC000006A
2026-09-01 22:05:39,4625,DC01,apatel,194.26.29.102,3,0xC000006A
2026-09-01 22:05:55,4625,DC01,apatel,194.26.29.102,3,0xC000006A
2026-09-01 22:06:05,4625,DC01,rlee,194.26.29.102,3,0xC000006A
2026-09-01 22:06:21,4625,DC01,rlee,194.26.29.102,3,0xC000006A
2026-09-01 22:06:38,4625,DC01,tgarcia,194.26.29.102,3,0xC000006A
2026-09-01 22:06:49,4625,DC01,tgarcia,194.26.29.102,3,0xC000006A
2026-09-01 22:07:05,4625,DC01,kbrown,194.26.29.102,3,0xC000006A
2026-09-01 22:07:24,4625,DC01,dnguyen,194.26.29.102,3,0xC000006A
2026-09-01 22:07:38,4625,DC01,dnguyen,194.26.29.102,3,0xC000006A
2026-09-01 22:07:56,4625,DC01,lchen,194.26.29.102,3,0xC000006A
2026-09-01 22:08:11,4625,DC01,lchen,194.26.29.102,3,0xC000006A
2026-09-01 22:08:27,4625,DC01,admin,194.26.29.102,3,0xC0000064
2026-09-01 22:08:36,4625,DC01,admin,194.26.29.102,3,0xC0000064
2026-09-01 22:08:47,4625,DC01,test,194.26.29.102,3,0xC0000064
2026-09-01 22:08:56,4625,DC01,guest,194.26.29.102,3,0xC0000064
2026-09-01 22:09:04,4625,DC01,guest,194.26.29.102,3,0xC0000064
2026-09-01 22:09:21,4625,DC01,root,194.26.29.102,3,0xC0000064
2026-09-01 22:09:38,4625,DC01,oracle,194.26.29.102,3,0xC0000064
2026-09-01 22:09:46,4625,DC01,sqlsvc,194.26.29.102,3,0xC0000064
2026-09-01 22:10:05,4625,DC01,backup,194.26.29.102,3,0xC0000064
